"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Tiles For Penguin Placement","41","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","68","Greedy","28","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","41","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","Greedy","32","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","32","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","40","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","62","Greedy","31","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","65","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","Greedy","49","Greedy"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","47","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","29","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","43","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","Greedy","31","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","46","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","61","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","63","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","28","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","46","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","47","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","66","Greedy","31","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","48","Greedy"
"MCTS Max Tiles For Penguin Placement","53","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","62","Greedy","27","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","48","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","62","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","46","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","32","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","63","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","64","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","24","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","62","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","32","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","69","Greedy","25","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","31","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","30","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","68","Greedy","31","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","61","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","41","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","Greedy","50","Greedy"
"MCTS Max Tiles For Penguin Placement","48","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","62","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","61","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","34","MCTS Max Tiles For Penguin Placement"
